nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"SERRUCHO DE COSTILLA 12"" BAHCO",NP-12-TEN,,14941.528,,,unidad,unidad,1.0,0,General,Otros,,,,
FIELTRO LISO 15LB STD,NTF/15STD,,13805.0,,,ROLLO,ROLLO,1.0,0,General,Otros,,,,
"POLIESTTIRENO EXPANDIDO 0,20 MM 30 PLANCHAS POR PAQUETE",NWT-EPS-20 STD 10,,309.56332,,,PLANCHA,PLANCHA,1.0,0,Aceros y Techumbre,Planchas,,,,
"POLIESTTIRENO EXPANDIDO 0,30 MM 20 PLANCHAS POR PAQUETE",NWT-EPS-30 STD 10,,464.35,,,PLANCHA,PLANCHA,1.0,0,Aceros y Techumbre,Planchas,,,,
"POLIESTTIRENO EXPANDIDO 0,40 MM 15 PLANCHAS POR PAQUETE",NWT-EPS-40 STD 10,,619.13668,,,PLANCHA,PLANCHA,1.0,0,Aceros y Techumbre,Planchas,,,,
"POLIESTIRENO EXPANDIDO 0,50 0,50X0,005X1,00",NWT-EPS-50 STD 10,,773.91332,,,PLANCHA,PLANCHA,1.0,0,General,Otros,,,,
CARGADOR DE BASE BC 21.5V-2.4A,O0001,,7777.988,,,unidad,unidad,1.0,0,General,Otros,,,,
LAPIZ CARPINTERO EN 150 ESTUCHES 25P BAHCO,P-HB,,511.036,,,unidad,unidad,1.0,0,General,Otros,,,,
RODILLO CHIPORRO NATURAL Ø40MM PATAGON 18 CM.,P118,,3777.8612399999997,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
PLAFON OVAL BLANCO 150W - E27,P21B,,1224.79968,,,Unidad,Unidad,1.0,0,General,Otros,,,,
RODILLO CHIP. SINTÉTICO PELO CORTO 7 CM,P50713,,1313.3625200000001,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
RODILLO CHIP. SINTÉTICO PELO CORTO 12 CM,P51213,,1494.57448,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
RODILLO CHIPORRO SINTÉTICO PELO LARGO  12 CM,P51218,,1524.5238,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
RODILLO TERMOFUSION FIBRA ECONOMICO 18 CM PATAGON,P51813,,1548.168,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
RODILLO CHIPORRO SINTÉTICO PELO LARGO  18 CM,P51818,,1705.7257200000001,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
RODILLO CHIP. SINTÉTICO PELO CORTO 23 CM,P52413,,1775.072,,,unidad,unidad,1.0,0,Pinturas,Aplicacion,,,,
"POLICARBONATO ALVEOLAR 1,05X2,90X4MM TRANSPARENTE",PA104101,,17656.68536,,,unidad,unidad,1.0,0,General,Otros,,,,
