nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
BALDE 11 LTS GRADUADO A/PLAST TRANSP,183-491,1317.86,1779.11,1581.43,unidad,unidad,1.0,100,General,Otros,,,,
PISO CUAD. NEGRO,183-507,2505.78,3382.81,3006.94,unidad,unidad,1.0,100,General,Otros,,,,
BASURERO FRANKFURT 50 LTS,183-525,9679.74,13067.66,11615.69,unidad,unidad,1.0,100,General,Otros,,,,
BALDE 13 LTS C/MANILLA Y PORTA MOPA,183-575,2440.81,3295.10,2928.98,unidad,unidad,1.0,100,Hogar,Banio y Decoracion,,,,
"RECT.60X40X2.0X6000 MM ( 17,58 KG)",1836-06000,31770.58,42890.28,38124.69,tira,tira,1.0,100,General,Otros,,,,
PAPELERO 60 LTS T/VAIVEN,184-305,6663.52,8995.75,7996.22,unidad,unidad,1.0,100,General,Otros,,,,
"RECT.80X40X2.0X6000 MM ( 21,36 KG)",1842-06000,38601.79,52112.42,46322.15,tira,tira,1.0,100,General,Otros,,,,
RECT.100X50X2.0X6000 MM ( 27 KG),1850-06000,48794.40,65872.44,58553.28,tira,tira,1.0,100,General,Otros,,,,
DESAGÜE PARA TINA CON SISTEMA REBALSE,185000001-T,2367.43,3196.03,2840.92,unid.,unid.,1.0,100,General,Otros,,,,
SIFÓN PLÁSTICO PARA TINA,185000002-T,1110.42,1499.07,1332.51,unid.,unid.,1.0,100,General,Otros,,,,
"RECT.150X50X2.0X6000 MM ( 36,42 KG)",1853-06000,65818.22,88854.60,78981.87,tira,tira,1.0,100,General,Otros,,,,
GUANTE ALGODON PIGMENTADO NORMAL CRUDO,18990120,281.12,379.51,337.34,PAR,PAR,1.0,100,General,Otros,,,,
GUANTE POLI-LATEX GRIS/NEGRO T/9 PROMAX,18990273,582.32,786.13,698.78,PAR,PAR,1.0,100,General,Otros,,,,
GUANTE POLI-LATEX GRIS/NEGRO T/10 PROMAX,18990274,582.32,786.13,698.78,PAR,PAR,1.0,100,General,Otros,,,,
GUANTE TECHNICAL ALTA DESTREZA HI-PERFOR T/M,18993269,481.92,650.59,578.30,par,par,1.0,100,Construccion,Materiales,,,,
GUANTE TECHNICAL ALTA DESTREZA HI-PERFORMANCE,18993270,446.78,603.15,536.14,un,un,1.0,100,Construccion,Materiales,,,,
"SET DESAGÜE PLÁST. 1.1/2"" BORDE CROM.C/SIFÓN Y TUBO REBALSE - DOBLE",190000012-T,5536.06,7473.68,6643.27,unid.,unid.,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
ACOPLE PARA CONECTAR SIFÓN A LAVAPLATOS DOBLES,190000054-T,1452.79,1961.26,1743.35,unid.,unid.,1.0,100,General,Otros,,,,
"DESAGÜE 3.1/2""",190000060-T,1673.67,2259.45,2008.40,unid.,unid.,1.0,100,General,Otros,,,,
FILTRO MALLA 3/4' Q:5 M3/H 130 MICRON - AZUD ( 17L1A220 ),190022,5732.84,7739.33,6879.41,un,un,1.0,100,General,Otros,,,,
FILTRO MALLA 1' Q:5 M3/H 130 MICRON - AZUD ( 17L1B220 ),190025,5732.84,7739.33,6879.41,un,un,1.0,100,General,Otros,,,,
AMARRA CARGA TOLSEN 62248,19016400286228,3851.85,5199.99,4622.22,unidad,unidad,1.0,100,General,Otros,,,,
CUERDA ELASTICA TOLSEN 2 PZAS 600 MM 62242,19016400286242,1177.87,1590.13,1413.45,unidad,unidad,1.0,100,General,Otros,,,,
CUERDA ELASTICA TOLSEN 2 PZAS 900 MM 62243,19016400286243,1503.99,2030.39,1804.79,set,set,1.0,100,General,Otros,,,,
AMARRA CARGA TOLSEN 62246,19016400286246,3418.62,4615.14,4102.34,set,set,1.0,100,General,Otros,,,,
AMARRA CARGA TOLSEN 62252,19016400286252,10226.74,13806.10,12272.09,set,set,1.0,100,General,Otros,,,,
AMARRA CARGA TOLSEN 62254,19016400286254,18818.98,25405.62,22582.77,set,set,1.0,100,General,Otros,,,,
"LPLTO.SS 100X50 (ESP=0,5) C/DESAG. (B+S) SOBREP. ECO - P/MM., SEC.DER.",190502503-T,17225.63,23254.60,20670.75,unid.,unid.,1.0,100,General,Otros,,,,
