nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
DISCO DESBASTE W-MAX 115X6.0X22.23 ( CAJA 10 UNIDADES),5986115106CL01,CHM-5986115106CL01,PEND-5986115106CL01,793.16,,,caja,caja,1.0,0,Herramientas,Discos y Corte,,,
DISCO DE CORTE W-MAX 180X1.6X22.23 ( CAJA 25 UNIDADES),5986180101CL01,CHM-5986180101CL01,PEND-5986180101CL01,582.32,,,CAJA,CAJA,1.0,0,Herramientas,Discos y Corte,,,
DISCO DESBASTE W-MAX 180X6.0X22.23 ( CAJA 10 UNIDADES),5986180106CL01,CHM-5986180106CL01,PEND-5986180106CL01,1169.66,,,caja,caja,1.0,0,Herramientas,Discos y Corte,,,
DISCO DE CORTE W-MAX 230X1.8X22.23 ( CAJA 25 UNIDADES),5986230101CL01,CHM-5986230101CL01,PEND-5986230101CL01,692.76,,,caja,caja,1.0,0,Herramientas,Discos y Corte,,,
"DISCO DE DESBASTE 4,5""X 1/4 X 7/8"" (13,300 RPM)",60-5100-2751-3,CHM-60-5100-2751-3,PEND-60-5100-2751-3,1445.76,,,disco,disco,1.0,0,Herramientas,Discos y Corte,,,
YESO SUPER SACO 25 KGS,6000103,CHM-6000103,PEND-6000103,7391.448,,,saco,saco,1.0,0,Construccion,Materiales,,,
YESO EXPRESS VOLCAN 25 KG,6000104,CHM-6000104,PEND-6000104,4213.788,,,unidad,unidad,1.0,0,Construccion,Materiales,,,
BATERIA FEMSACO 95D31L 90AH PD NORMAL,600019,CHM-600019,PEND-600019,68382.44,,,unidad,unidad,1.0,0,General,Otros,,,
BATERIA FEMSACO 95D31R 90AH PI NORMAL,600026,CHM-600026,PEND-600026,68382.44,,,unidad,unidad,1.0,0,General,Otros,,,
BATERIA FEMSACO 55457 55AH PD NORMAL,600064,CHM-600064,PEND-600064,43069.592,,,unidad,unidad,1.0,0,General,Otros,,,
BATERIA FEMSACO 55459 55AH PI NORMAL,600071,CHM-600071,PEND-600071,43069.592,,,unidad,unidad,1.0,0,General,Otros,,,
BATERIA FEMSACO 56828 70AH PD NORMAL,600088,CHM-600088,PEND-600088,59950.848,,,unidad,unidad,1.0,0,General,Otros,,,
BATERIA FEMSACO NS60L 45AH PD DELG C/ADAP,600125,CHM-600125,PEND-600125,47316.512,,,unidad,unidad,1.0,0,General,Otros,,,
FAROL FAENA 9LED 10/30V 27W 1620LM WIDE FLOOD,600231,CHM-600231,PEND-600231,17914.372,,,unidad,unidad,1.0,0,General,Otros,,,
SILICONA ACÉTICA BLANCA TUBO DE 280 ML.,6004300,CHM-6004300,PEND-6004300,1774.068,,,pomo,pomo,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
SILICONA ACÉTICA TRANSPARENTE TUBO DE 280 ML.,6004400,CHM-6004400,PEND-6004400,1774.068,,,pomo,pomo,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
"JGO BOCINA T/CARACOL 12V 410HZ 8,5CM DIA.",600743,CHM-600743,PEND-600743,2994.932,,,unidad,unidad,1.0,0,General,Otros,,,
